time,crd,vel,ekin,epot,etotal,coff_0,coff_1,prob,random,state
170.000,-2.53523272,0.01449414,0.21008023,-0.00982283,0.20025741,0.99999985,0.00000015,0.00000000,0.08892525,0
171.000,-2.52073864,0.01449400,0.21007617,-0.00981867,0.20025750,0.99999983,0.00000017,0.00000000,0.69662600,0
172.000,-2.50624471,0.01449386,0.21007202,-0.00981442,0.20025760,0.99999980,0.00000020,0.00000000,0.11585355,0
173.000,-2.49175092,0.01449371,0.21006776,-0.00981006,0.20025770,0.99999977,0.00000023,0.00000000,0.45051107,0
174.000,-2.47725728,0.01449356,0.21006341,-0.00980561,0.20025780,0.99999973,0.00000027,0.00000000,0.22889842,0
175.000,-2.46276379,0.01449341,0.21005895,-0.00980105,0.20025791,0.99999969,0.00000031,0.00000000,0.68542693,0
176.000,-2.44827046,0.01449325,0.21005439,-0.00979638,0.20025801,0.99999964,0.00000036,0.00000000,0.44188139,0
177.000,-2.43377729,0.01449309,0.21004973,-0.00979161,0.20025812,0.99999959,0.00000041,0.00000000,0.72199179,0
178.000,-2.41928428,0.01449293,0.21004495,-0.00978672,0.20025823,0.99999953,0.00000047,0.00000000,0.04584945,0
179.000,-2.40479143,0.01449276,0.21004006,-0.00978172,0.20025835,0.99999946,0.00000054,0.00000000,0.87123203,0
180.000,-2.39029876,0.01449259,0.21003506,-0.00977660,0.20025846,0.99999937,0.00000063,0.00000000,0.59335498,0
181.000,-2.37580626,0.01449241,0.21002994,-0.00977136,0.20025858,0.99999928,0.00000072,0.00000000,0.53628807,0
182.000,-2.36131394,0.01449223,0.21002470,-0.00976600,0.20025871,0.99999918,0.00000082,0.00000000,0.20364537,0
183.000,-2.34682180,0.01449204,0.21001934,-0.00976051,0.20025883,0.99999905,0.00000095,0.00000000,0.05515022,0
184.000,-2.33232985,0.01449185,0.21001385,-0.00975489,0.20025896,0.99999892,0.00000108,0.00000000,0.41093980,0
185.000,-2.31783809,0.01449166,0.21000824,-0.00974915,0.20025909,0.99999876,0.00000124,0.00000000,0.92945819,0
186.000,-2.30334653,0.01449146,0.21000249,-0.00974327,0.20025922,0.99999858,0.00000142,0.00000000,0.02047772,0
187.000,-2.28885517,0.01449126,0.20999661,-0.00973725,0.20025936,0.99999837,0.00000163,0.00000000,0.39478272,0
188.000,-2.27436401,0.01449105,0.20999059,-0.00973109,0.20025950,0.99999814,0.00000186,0.00000000,0.60239524,0
189.000,-2.25987306,0.01449084,0.20998444,-0.00972479,0.20025964,0.99999788,0.00000212,0.00000000,0.08384888,0
190.000,-2.24538233,0.01449062,0.20997813,-0.00971834,0.20025979,0.99999758,0.00000242,0.00000000,0.16186052,0
191.000,-2.23089182,0.01449040,0.20997168,-0.00971174,0.20025994,0.99999724,0.00000276,0.00000000,0.83614406,0
192.000,-2.21640153,0.01449017,0.20996508,-0.00970499,0.20026010,0.99999686,0.00000314,0.00000000,0.68542952,0
193.000,-2.20191147,0.01448994,0.20995833,-0.00969808,0.20026025,0.99999642,0.00000358,0.00000000,0.85919151,0
194.000,-2.18742165,0.01448970,0.20995142,-0.00969101,0.20026041,0.99999593,0.00000407,0.00000000,0.48374247,0
195.000,-2.17293207,0.01448946,0.20994435,-0.00968377,0.20026058,0.99999538,0.00000462,0.00000000,0.26550988,0
196.000,-2.15844274,0.01448921,0.20993711,-0.00967637,0.20026074,0.99999476,0.00000524,0.00000000,0.24310096,0
197.000,-2.14395366,0.01448895,0.20992971,-0.00966879,0.20026092,0.99999405,0.00000595,0.00000000,0.46128213,0
198.000,-2.12946484,0.01448869,0.20992213,-0.00966104,0.20026109,0.99999326,0.00000674,0.00000000,0.29063625,0
199.000,-2.11497628,0.01448842,0.20991438,-0.00965311,0.20026127,0.99999237,0.00000763,0.00000000,0.97199960,0
200.000,-2.10048799,0.01448815,0.20990645,-0.00964499,0.20026145,0.99999136,0.00000864,0.00000000,0.93443821,0
201.000,-2.08599998,0.01448787,0.20989833,-0.00963669,0.20026164,0.99999023,0.00000977,0.00000000,0.92156589,0
202.000,-2.07151225,0.01448758,0.20989003,-0.00962820,0.20026183,0.99998897,0.00001103,0.00000000,0.99329158,0
203.000,-2.05702482,0.01448729,0.20988154,-0.00961951,0.20026203,0.99998755,0.00001245,0.00000000,0.20988944,0
204.000,-2.04253768,0.01448699,0.20987284,-0.00961062,0.20026223,0.99998595,0.00001405,0.00000000,0.27987216,0
205.000,-2.02805084,0.01448668,0.20986395,-0.00960152,0.20026243,0.99998417,0.00001583,0.00000000,0.16021950,0
206.000,-2.01356431,0.01448637,0.20985486,-0.00959222,0.20026264,0.99998217,0.00001783,0.00000000,0.06415973,0
207.000,-1.99907810,0.01448605,0.20984555,-0.00958270,0.20026285,0.99997994,0.00002006,0.00000000,0.66439527,0
208.000,-1.98459222,0.01448572,0.20983604,-0.00957296,0.20026307,0.99997745,0.00002255,0.00000000,0.29096407,0
209.000,-1.97010667,0.01448538,0.20982630,-0.00956301,0.20026329,0.99997467,0.00002533,0.00000000,0.16897898,0
210.000,-1.95562145,0.01448504,0.20981634,-0.00955282,0.20026352,0.99997157,0.00002843,0.00000000,0.99208708,0
211.000,-1.94113659,0.01448469,0.20980616,-0.00954240,0.20026375,0.99996811,0.00003189,0.00000000,0.50073049,0
212.000,-1.92665208,0.01448433,0.20979574,-0.00953175,0.20026399,0.99996426,0.00003574,0.00000000,0.34763515,0
213.000,-1.91216794,0.01448396,0.20978508,-0.00952085,0.20026423,0.99995998,0.00004002,0.00000000,0.79227911,0
214.000,-1.89768416,0.01448358,0.20977419,-0.00950971,0.20026448,0.99995522,0.00004478,0.00000000,0.87705723,0
215.000,-1.88320077,0.01448320,0.20976305,-0.00949832,0.20026473,0.99994994,0.00005006,0.00000000,0.55083838,0
216.000,-1.86871776,0.01448281,0.20975165,-0.00948667,0.20026498,0.99994408,0.00005592,0.00000000,0.21445698,0
217.000,-1.85423516,0.01448240,0.20974000,-0.00947476,0.20026524,0.99993758,0.00006242,0.00000000,0.72884426,0
218.000,-1.83975296,0.01448199,0.20972809,-0.00946258,0.20026551,0.99993038,0.00006962,0.00000000,0.28237443,0
219.000,-1.82527117,0.01448157,0.20971592,-0.00945014,0.20026578,0.99992241,0.00007759,0.00000000,0.65865176,0
220.000,-1.81078981,0.01448114,0.20970347,-0.00943741,0.20026605,0.99991360,0.00008640,0.00000000,0.80243144,0
221.000,-1.79630889,0.01448070,0.20969075,-0.00942441,0.20026634,0.99990386,0.00009614,0.00000000,0.69156029,0
